year,state,type,energySrc,amount,region
2007,AK,"combined Heat and Power, Industrial Power",Petroleum,58431,west
2007,AK,"combined Heat and Power, Electric Power",Total,210155,west
2007,AK,"combined Heat and Power, Electric Power",Coal,199914,west
2007,AK,"combined Heat and Power, Electric Power",Petroleum,10241,west
2007,AK,"combined Heat and Power, Commercial Power",Total,237621,west
2007,AK,"combined Heat and Power, Commercial Power",Coal,227848,west
2007,AK,"combined Heat and Power, Commercial Power",Natural Gas,437,west
2007,AK,"combined Heat and Power, Commercial Power",Petroleum,9315,west
2007,AK,"combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,22,west
2008,AK,Total Electric Power Industry,Total,6774834,west
2008,AK,Total Electric Power Industry,Coal,617897,west
2008,AK,Total Electric Power Industry,Hydroelectric Conventional,1171801,west
2008,AK,Total Electric Power Industry,Natural Gas,4002472,west
2008,AK,Total Electric Power Industry,Other,0,west
2008,AK,Total Electric Power Industry,Other Biomass,4682,west
2008,AK,Total Electric Power Industry,Petroleum,977915,west
2008,AK,Total Electric Power Industry,Wind,68,west
2008,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0,west
2008,AK,"Electric Generators, Electric Utilities",Total,6262148,west
2008,AK,"Electric Generators, Electric Utilities",Coal,220360,west
2008,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1171801,west
2008,AK,"Electric Generators, Electric Utilities",Natural Gas,3942237,west
2008,AK,"Electric Generators, Electric Utilities",Other,0,west
2008,AK,"Electric Generators, Electric Utilities",Petroleum,927681,west
2008,AK,"Electric Generators, Electric Utilities",Wind,68,west
2008,AK,"combined Heat and Power, Industrial Power",Total,110483,west
2008,AK,"combined Heat and Power, Industrial Power",Natural Gas,60235,west
2008,AK,"combined Heat and Power, Industrial Power",Other Biomass,4682,west
2008,AK,"combined Heat and Power, Industrial Power",Petroleum,45566,west
2008,AK,"combined Heat and Power, Electric Power",Total,177106,west
2008,AK,"combined Heat and Power, Electric Power",Coal,177106,west
2008,AK,"combined Heat and Power, Commercial Power",Total,225098,west
2008,AK,"combined Heat and Power, Commercial Power",Coal,220430,west
